topic	tweet_id	tweet_url	tweet_text	class_label
COVID-19	1272884988770467841	http://twitter.com/user/status/1272884988770467841	👏 Държавите-членки се споразумяха за техническа съвместимост между приложенияta за последяване на контактите 📲 срещу разпространението на #coronavirus. 🚉🏖🛣 Още една стъпка към свободното и безопасно пътуване в ЕС! ➡ https://t.co/soLpRuRgGy #EUtourism https://t.co/OD5iJoX7Iq	0
COVID-19	1292430410304151552	http://twitter.com/user/status/1292430410304151552	туроператорите са предложили да се промени методологията за отчитане на случаите с Covid-19.. германският гражданин вярва на официалните данни от институциите и че докато се обявяват подобни данни, няма да има положителен резултат за туристическия сектор https://t.co/IUPqwuLEvL	0
COVID-19	1245696522706190337	http://twitter.com/user/status/1245696522706190337	Съвместна декларация относно принципите на върховенството на закона в условията на #Covid19, подписана от Франция, Белгия, Германия, Гърция, Дания, Ирландия, Испания, Италия, Латвия, Люксембург, Нидерландия, Португалия, Финландия и Швеция: https://t.co/opG00b2rqV https://t.co/KewnUP4MmU	0
COVID-19	1286915520843993089	http://twitter.com/user/status/1286915520843993089	10123 са общо потвърдените у нас случаи на COVID-19 според Националната информационна система https://t.co/XNCvgQVbVV	0
COVID-19	1239106617922199552	http://twitter.com/user/status/1239106617922199552	Два нови случая на COVID-19 показват резултатите от първите проби, излязли днес https://t.co/Dm6xipExO4	0
COVID-19	1251084098283634690	http://twitter.com/user/status/1251084098283634690	„ЕК мобилизира всички средства от бюджета на ЕС срещу #coronavirus. Няма преструктуриране на фондове за сметка на други. Даваме възможност на държавите за гъвкавост, така че всяка страна да пренасочи средства към най-засегнатите области.“ @GabrielMariya https://t.co/nGJZNSQvIh	0
COVID-19	1252312241350889476	http://twitter.com/user/status/1252312241350889476	Австрийските политици ще дарят по една нетна заплата за борба с Covid-19. Ето и кой колко: https://t.co/c8Mhst3lvH https://t.co/HX77SYaRJj	0
COVID-19	1245593124547596288	http://twitter.com/user/status/1245593124547596288	25 са вече излекуваните от COVID-19 в България съобщиха от Националния оперативен щаб https://t.co/wfbQgHzGk5	0
COVID-19	1249003140084621317	http://twitter.com/user/status/1249003140084621317	661 са потвърдените случаи на COVID-19 у нас, има още два смъртни случая - https://t.co/ROSkOUtuRW	0
COVID-19	1232218428527738880	http://twitter.com/user/status/1232218428527738880	Действията на ЕС за ограничаване на #coronavirus 👇 Екипи на Европейски център за профилактика и контрол върху заболяванията @ECDC_EU са изпратени в Италия за оценка на ситуацията и оказване на техническа помощ. 👉 https://t.co/h9naiw1puT https://t.co/H7hAhONbbe	0
COVID-19	1274207928703160320	http://twitter.com/user/status/1274207928703160320	2008 са излекуваните у нас лица, при които е бил доказан COVID-19 https://t.co/NqFDcmcxUx	0
COVID-19	1270006777971724291	http://twitter.com/user/status/1270006777971724291	Форбс ни посочи като 48-та държава по безопасност. Не първа, както ни убеждаваше премиерът Борисов https://t.co/mWBETcy0TA	0
COVID-19	1285828316965019650	http://twitter.com/user/status/1285828316965019650	325 са новите случаи на COVID-19, потвърдени у нас през изминалите 24 часа https://t.co/JdSwZM7Obi	0
COVID-19	1255517706188709888	http://twitter.com/user/status/1255517706188709888	Япония одобрява медикамента Remdesivir за лечение на COVID-19 https://t.co/wFZdS3QbAe	1
COVID-19	1259718950696386560	http://twitter.com/user/status/1259718950696386560	26 са новозаразените с COVID-19 за денонощие в страната https://t.co/qzaytGWR82	0
COVID-19	1298270304561553414	http://twitter.com/user/status/1298270304561553414	Министър Ангелов: От утре във Варна ще заработи Координационен център за разпределение на пациентите с COVID-19 в лечебни заведения https://t.co/hqnVDkjtdl https://t.co/qes5yMg4AB	0
COVID-19	1249955662018347010	http://twitter.com/user/status/1249955662018347010	Всяка помощ е от значение в борбата с COVID-19. Затова даряваме по 1 лев за всяка фактура, платена през Моят А1 и на https://t.co/CIImympy8U &gt;&gt;&gt; https://t.co/N7dXqwIj9y #ОтговорниЗаедно https://t.co/vrFNgips82	0
COVID-19	1267348049044570112	http://twitter.com/user/status/1267348049044570112	Новите случаи на COVID-19 в страната са 6 https://t.co/eXlpHLScjI	0
COVID-19	1297747642093641728	http://twitter.com/user/status/1297747642093641728	60 нови заразени с COVID-19 у нас, увеличават се тежките случаи Повече вижте тук: https://t.co/oE54flVStf https://t.co/fzkoidriAD	0
COVID-19	1260494768339025920	http://twitter.com/user/status/1260494768339025920	С преподаватели и ученици Марио е помогнал да се насърчи редовният обмен на информация за кризата с коронавируса, използвайки достоверни и компетентни източници. Вижте повече истории на европейци, които се борят срещу коронавируса: https://t.co/mMZ3QVGp05 #ЕвропаСрещуCOVID19 https://t.co/mSvg2vVrTm	0
COVID-19	1270584126257725442	http://twitter.com/user/status/1270584126257725442	79 нови случая на COVID-19 у нас отчита Националната информационна система https://t.co/tr4Bat9CBk	0
COVID-19	1259005323244953600	http://twitter.com/user/status/1259005323244953600	422 от лицата, при които е потвърден COVID-19 у нас, са вече излекувани https://t.co/Yc4NVkdHnR	0
COVID-19	1243235082262831104	http://twitter.com/user/status/1243235082262831104	Bosch разработва бърз тест за COVID-19 отнемащ 2 часа и половина за резултат. Той действа чрез устройството #Vivalytic, разработено от #BoschHealthcareSolutions: https://t.co/qhRAMQLmbH @BoschGlobal @Bosch_IO #Bulgaria #BoschEngineeringCenterSofia https://t.co/GSzipTKXHn	0
COVID-19	1284383991953592320	http://twitter.com/user/status/1284383991953592320	Европейски държави карантинират пристигащите от България #COVID19 https://t.co/rFDD6zKOk8	0
